Qubit,T1 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
69,381.15,4.552,0.0,0.0034,0.0054,0.0014,1244.444,0.0001723,0.0001723,0.0001723
70,318.53,4.712,-0.31002,0.0018,0.0034,0.0002,1244.444,0.0001943,0.0001943,0.0001943
71,362.93,4.543,0.0,0.0933,0.0642,0.1224,1244.444,0.0004835,0.0004835,0.0004835
72,126.74,4.577,0.0,0.0055,0.0098,0.0012,1244.444,0.0003477,0.0003477,0.0003477
73,184.08,4.822,0.0,0.0195,0.01,0.029,1244.444,0.0001883,0.0001883,0.0001883
74,369.91,4.61,0.0,0.0036,0.0032,0.004,1244.444,0.0001583,0.0001583,0.0001583
75,235.13,4.787,-0.3086,0.0034,0.0048,0.002,1244.444,0.000191,0.000191,0.000191
76,99.4,4.683,0.0,0.0039,0.007,0.0008,1244.444,0.0002076,0.0002076,0.0002076
77,411.07,4.577,-0.31325,0.0048,0.0052,0.0044,1244.444,0.0005369,0.0005369,0.0005369
78,515.4,4.483,0.0,0.0015,0.0026,0.0004,1244.444,8.754e-05,8.754e-05,8.754e-05
79,223.27,4.565,-0.28001,0.0109,0.0084,0.0134,1244.444,0.000459,0.000459,0.000459
80,233.41,4.6,0.0,0.0199,0.0234,0.0164,1244.444,0.0003436,0.0003436,0.0003436
81,312.74,4.499,-0.31479,0.0041,0.0064,0.0018,1244.444,0.0002879,0.0002879,0.0002879
82,304.06,4.602,-0.3276,0.0029,0.005,0.0008,1244.444,0.0003275,0.0003275,0.0003275
83,305.88,4.636,-0.31169,0.0089,0.0074,0.0104,1244.444,0.0004233,0.0004233,0.0004233
84,283.23,4.723,0.0,0.0958,0.0244,0.1672,1244.444,0.0003621,0.0003621,0.0003621
85,162.96,4.587,-0.31183,0.006,0.0058,0.0062,1244.444,0.0001467,0.0001467,0.0001467
86,225.52,4.757,0.0,0.0142,0.0118,0.0166,1244.444,0.0005039,0.0005039,0.0005039
87,230.58,4.725,-0.30958,0.0211,0.0394,0.0028,1244.444,0.0005573,0.0005573,0.0005573
88,326.06,4.566,-0.36821,0.0252,0.0486,0.0018,1244.444,0.0001706,0.0001706,0.0001706
89,305.97,4.797,-0.30874,0.0047,0.0048,0.0046,1244.444,8.833e-05,8.833e-05,8.833e-05
90,329.51,4.704,0.0,0.0038,0.0058,0.0018,1244.444,0.0001621,0.0001621,0.0001621
91,69.07,4.709,0.0,0.003,0.0036,0.0024,1244.444,0.0002248,0.0002248,0.0002248
92,240.35,4.73,0.0,0.0038,0.0054,0.0022,1244.444,0.0003734,0.0003734,0.0003734
93,303.13,4.678,0.0,0.0031,0.0056,0.0006,1244.444,0.0003172,0.0003172,0.0003172
94,87.2,4.876,-0.30795,0.0089,0.011,0.0068,1244.444,0.0003221,0.0003221,0.0003221
95,300.35,4.597,-0.31185,0.0082,0.012,0.0044,1244.444,0.0001452,0.0001452,0.0001452
96,288.55,4.733,-0.30895,0.0123,0.0048,0.0198,1244.444,0.0001166,0.0001166,0.0001166
97,149.97,4.807,0.0,0.0016,0.0026,0.0006,1244.444,0.0001493,0.0001493,0.0001493
98,276.31,4.609,-0.31259,0.0086,0.0138,0.0034,1244.444,0.0006435,0.0006435,0.0006435
99,321.03,4.574,0.0,0.0054,0.0074,0.0034,1244.444,0.0003036,0.0003036,0.0003036
100,345.01,4.647,-0.3109,0.0012,0.0022,0.0002,1244.444,0.0002022,0.0002022,0.0002022
101,225.07,4.724,0.0,0.0024,0.0042,0.0006,1244.444,0.0001919,0.0001919,0.0001919
102,179.82,4.604,-0.31233,0.0022,0.0034,0.001,1244.444,0.0001605,0.0001605,0.0001605
103,152.88,4.664,0.0,0.003,0.0052,0.0008,1244.444,0.0002049,0.0002049,0.0002049
104,232.39,4.802,-0.30894,0.0163,0.0156,0.017,1244.444,0.0005591,0.0005591,0.0005591
105,304.27,4.749,0.0,0.0305,0.0336,0.0274,1244.444,0.00124,0.00124,0.00124
106,212.71,4.719,-0.29787,0.014,0.0156,0.0124,1244.444,0.0005045,0.0005045,0.0005045
107,331.78,4.615,0.0,0.0022,0.0018,0.0026,1244.444,0.0001998,0.0001998,0.0001998
108,394.57,4.546,-0.31218,0.0119,0.0034,0.0204,1244.444,0.0001462,0.0001462,0.0001462
109,129.97,4.875,0.0,0.016,0.0146,0.0174,1244.444,0.0005215,0.0005215,0.0005215
110,219.1,4.806,0.0,0.0027,0.0022,0.0032,1244.444,0.0002172,0.0002172,0.0002172
111,114.95,4.769,0.0,0.0086,0.0092,0.008,1244.444,0.0004986,0.0004986,0.0004986
112,223.25,4.584,0.0,0.0021,0.004,0.0002,1244.444,0.0001809,0.0001809,0.0001809
113,172.67,4.656,-0.31079,0.0031,0.0042,0.002,1244.444,0.0001689,0.0001689,0.0001689
114,63.01,4.782,0.0,0.0121,0.0022,0.022,1244.444,0.0001844,0.0001844,0.0001844
115,295.22,4.709,-0.30971,0.0092,0.0134,0.005,1244.444,0.0005532,0.0005532,0.0005532
116,128.22,4.959,0.0,0.0034,0.0048,0.002,1244.444,0.0002408,0.0002408,0.0002408
117,232.31,4.832,-0.30822,0.0124,0.0116,0.0132,1244.444,0.0001399,0.0001399,0.0001399
118,130.2,4.749,0.0,0.0029,0.005,0.0008,1244.444,0.0002061,0.0002061,0.0002061
119,206.47,4.611,-0.31637,0.0023,0.0036,0.001,1244.444,0.0001687,0.0001687,0.0001687
120,182.85,4.5,0.0,0.001,0.0014,0.0006,1244.444,0.0001187,0.0001187,0.0001187
121,369.34,4.621,-0.31075,0.0015,0.0022,0.0008,1244.444,0.0001514,0.0001514,0.0001514
122,306.22,4.688,0.0,0.0029,0.0038,0.002,1244.444,0.0001281,0.0001281,0.0001281
123,110.54,4.731,-0.30912,0.0036,0.0056,0.0016,1244.444,0.0002497,0.0002497,0.0002497
124,355.88,4.635,0.0,0.0041,0.007,0.0012,1244.444,0.0005986,0.0005986,0.0005986
125,293.26,4.737,-0.30847,0.003,0.0052,0.0008,1244.444,0.0004818,0.0004818,0.0004818
126,90.37,4.703,0.0,0.0024,0.0038,0.001,1244.444,0.0003779,0.0003779,0.0003779
